"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"NCDMORT3070","PUBLISHED","2016","EMR","","AFG","BTSX","29.8","29.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EUR","","ALB","FMLE","14.9","14.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EUR","","ALB","MLE","23.1","23.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EUR","","ALB","BTSX","19.4","19.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EUR","","ALB","FMLE","15.0","15.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EUR","","ALB","MLE","22.1","22.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EUR","","ALB","BTSX","18.8","18.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EUR","","ALB","FMLE","14.6","14.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EUR","","ALB","MLE","22.3","22.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EUR","","ALB","BTSX","18.6","18.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EUR","","ALB","FMLE","13.7","13.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EUR","","ALB","MLE","20.9","20.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EUR","","ALB","BTSX","17.4","17.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","EUR","","ALB","FMLE","13.1","13.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","EUR","","ALB","MLE","20.7","20.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","EUR","","ALB","BTSX","17.0","17.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AFR","","DZA","FMLE","19.1","19.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AFR","","DZA","MLE","23.1","23.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AFR","","DZA","BTSX","21.1","21.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AFR","","DZA","FMLE","16.2","16.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AFR","","DZA","MLE","18.9","18.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AFR","","DZA","BTSX","17.6","17.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AFR","","DZA","FMLE","14.4","14.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AFR","","DZA","MLE","16.4","16.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AFR","","DZA","BTSX","15.4","15.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AFR","","DZA","FMLE","13.3","13.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AFR","","DZA","MLE","15.4","15.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AFR","","DZA","BTSX","14.4","14.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AFR","","DZA","FMLE","13.2","13.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AFR","","DZA","MLE","15.2","15.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AFR","","DZA","BTSX","14.2","14.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AFR","","AGO","FMLE","23.8","23.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AFR","","AGO","MLE","24.2","24.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AFR","","AGO","BTSX","24.0","24.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AFR","","AGO","FMLE","21.2","21.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AFR","","AGO","MLE","21.5","21.50000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AFR","","AGO","BTSX","21.3","21.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AFR","","AGO","FMLE","17.8","17.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AFR","","AGO","MLE","18.6","18.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AFR","","AGO","BTSX","18.1","18.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AFR","","AGO","FMLE","16.3","16.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AFR","","AGO","MLE","17.6","17.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AFR","","AGO","BTSX","16.9","16.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AFR","","AGO","FMLE","16.0","16.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AFR","","AGO","MLE","17.2","17.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AFR","","AGO","BTSX","16.5","16.50000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AMR","","ATG","FMLE","20.8","20.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AMR","","ATG","MLE","26.8","26.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AMR","","ATG","BTSX","23.4","23.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AMR","","ATG","FMLE","21.3","21.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AMR","","ATG","MLE","21.8","21.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AMR","","ATG","BTSX","21.6","21.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AMR","","ATG","FMLE","19.3","19.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AMR","","ATG","MLE","24.2","24.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AMR","","ATG","BTSX","21.6","21.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AMR","","ATG","FMLE","19.7","19.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AMR","","ATG","MLE","25.5","25.50000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AMR","","ATG","BTSX","22.6","22.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AMR","","ATG","FMLE","20.0","20.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AMR","","ATG","MLE","25.2","25.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AMR","","ATG","BTSX","22.6","22.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EUR","","AZE","FMLE","22.9","22.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EUR","","AZE","MLE","36.1","36.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EUR","","AZE","BTSX","29.3","29.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EUR","","AZE","FMLE","22.3","22.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EUR","","AZE","MLE","36.1","36.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EUR","","AZE","BTSX","29.0","29.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EUR","","AZE","FMLE","18.9","18.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EUR","","AZE","MLE","31.3","31.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EUR","","AZE","BTSX","24.8","24.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EUR","","AZE","FMLE","16.4","16.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EUR","","AZE","MLE","29.1","29.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EUR","","AZE","BTSX","22.5","22.50000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","EUR","","AZE","FMLE","16.1","16.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","EUR","","AZE","MLE","28.7","28.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","EUR","","AZE","BTSX","22.2","22.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AMR","","ARG","FMLE","14.7","14.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AMR","","ARG","MLE","26.9","26.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","AMR","","ARG","BTSX","20.6","20.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AMR","","ARG","FMLE","13.6","13.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AMR","","ARG","MLE","24.6","24.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","AMR","","ARG","BTSX","18.9","18.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AMR","","ARG","FMLE","13.2","13.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AMR","","ARG","MLE","22.8","22.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","AMR","","ARG","BTSX","17.8","17.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AMR","","ARG","FMLE","12.4","12.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AMR","","ARG","MLE","20.2","20.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","AMR","","ARG","BTSX","16.1","16.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AMR","","ARG","FMLE","12.2","12.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AMR","","ARG","MLE","19.7","19.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","AMR","","ARG","BTSX","15.8","15.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","WPR","","AUS","FMLE","10.0","10.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","WPR","","AUS","MLE","16.1","16.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","WPR","","AUS","BTSX","13.1","13.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","WPR","","AUS","FMLE","8.8","8.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","WPR","","AUS","MLE","13.9","13.90000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","WPR","","AUS","BTSX","11.4","11.40000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","WPR","","AUS","FMLE","7.8","7.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","WPR","","AUS","MLE","12.1","12.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","WPR","","AUS","BTSX","10.0","10.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","WPR","","AUS","FMLE","7.3","7.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","WPR","","AUS","MLE","11.3","11.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","WPR","","AUS","BTSX","9.3","9.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","WPR","","AUS","FMLE","7.2","7.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","WPR","","AUS","MLE","11.0","11.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2016","WPR","","AUS","BTSX","9.1","9.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EUR","","AUT","FMLE","10.7","10.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EUR","","AUT","MLE","20.0","20.00000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2000","EUR","","AUT","BTSX","15.3","15.30000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EUR","","AUT","FMLE","9.1","9.10000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EUR","","AUT","MLE","16.5","16.50000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2005","EUR","","AUT","BTSX","12.7","12.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EUR","","AUT","FMLE","8.7","8.70000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EUR","","AUT","MLE","15.8","15.80000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2010","EUR","","AUT","BTSX","12.2","12.20000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EUR","","AUT","FMLE","8.5","8.50000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
"NCDMORT3070","PUBLISHED","2015","EUR","","AUT","MLE","14.6","14.60000","","","Global Health Estimates 2016: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2016. Geneva, World Health Organization, 2018"
