"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUGSUPERVISION","Display Value","Numeric","Low","High","Comments"
"RSUD_61","PUBLISHED","2008","WPR","MYS","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","MLT","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","MLT","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","AFR","MUS","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","AFR","MUS","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","AMR","MEX","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","AMR","MEX","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","SEAR","MMR","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","SEAR","MMR","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","SEAR","NPL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","SEAR","NPL","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","NLD","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","NLD","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","WPR","NZL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","WPR","NZL","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","NOR","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EMR","OMN","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EMR","OMN","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","POL","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","POL","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","MDA","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","MDA","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","SRB","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","SRB","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","WPR","SGP","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","WPR","SGP","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","SVK","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","SVK","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","SVN","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","SVN","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","ESP","SUPERVISION_REQUIRED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","ESP","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","SWE","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","SWE","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","CHE","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","EUR","CHE","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","SEAR","THA","ALL_DOSES_SUPERVISED","no","","","",""
"RSUD_61","PUBLISHED","2008","SEAR","THA","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","UKR","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","UKR","SUPERVISION_REQUIRED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","MNE","ALL_DOSES_SUPERVISED","yes","","","",""
"RSUD_61","PUBLISHED","2008","EUR","MNE","SUPERVISION_REQUIRED","yes","","","",""
