"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","STANDARDOFCARE","Display Value","Numeric","Low","High","Comments"
"RSUD_83","PUBLISHED","2008","AMR","BHS","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","BHS","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","BHS","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","BHS","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BLR","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BLR","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BLR","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BLR","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BEL","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BEL","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BEL","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BEL","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","BEN","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","BEN","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","BEN","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","BEN","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BGR","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BGR","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BGR","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","BGR","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","CRI","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","CRI","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","CRI","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","CRI","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","HRV","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","HRV","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","HRV","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","HRV","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","DNK","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","DNK","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","DNK","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","DNK","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","DOM","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","DOM","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","DOM","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","DOM","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","ECU","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","ECU","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","ECU","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","ECU","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","EGY","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EMR","EGY","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","EGY","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","EGY","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","SLV","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","SLV","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","SLV","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","SLV","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","EST","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","EST","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","EST","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","EST","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","FRA","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","FRA","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","FRA","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","FRA","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","GMB","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","GMB","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","GMB","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","GMB","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","GEO","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","GEO","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","GEO","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","GEO","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","DEU","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","DEU","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","DEU","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","DEU","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","GTM","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","GTM","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","GTM","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","GTM","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","HUN","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","HUN","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","HUN","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","HUN","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ISL","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ISL","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ISL","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ISL","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EMR","IRN","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","IRN","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","IRN","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","IRN","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","IRL","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","IRL","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","IRL","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","IRL","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ISR","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ISR","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ISR","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ISR","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ITA","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ITA","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ITA","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","ITA","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","KGZ","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","KGZ","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","KGZ","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","KGZ","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LVA","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LVA","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LVA","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LVA","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","LSO","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","LSO","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","LSO","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","LSO","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LTU","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LTU","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LTU","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LTU","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LUX","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LUX","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LUX","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","LUX","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","MWI","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","MWI","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","MWI","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","MWI","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","MYS","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","MYS","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","MYS","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","WPR","MYS","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","MUS","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","MUS","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","MUS","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","MUS","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","MEX","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","MEX","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","MEX","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","MEX","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","WPR","MNG","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","MNG","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","MNG","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","MNG","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","SEAR","MMR","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","SEAR","MMR","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","SEAR","MMR","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","SEAR","MMR","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","NZL","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","NZL","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","NZL","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","NZL","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","NGA","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","NGA","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","NGA","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","NGA","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","NOR","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","NOR","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","NOR","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","NOR","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EMR","PAK","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","PAK","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EMR","PAK","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EMR","PAK","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","PLW","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","PLW","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","PLW","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","PLW","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PAN","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PAN","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PAN","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PAN","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PRY","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PRY","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PRY","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PRY","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PER","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PER","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PER","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","PER","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","WPR","PHL","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","PHL","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","PHL","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","WPR","PHL","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","POL","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","POL","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","POL","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","POL","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","MDA","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","MDA","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","MDA","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","MDA","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","RUS","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","RUS","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","RUS","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","RUS","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","LCA","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","LCA","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","LCA","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","LCA","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","SAU","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","SAU","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EMR","SAU","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EMR","SAU","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","SRB","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","SRB","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","SRB","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","SRB","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","WPR","SGP","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","SGP","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","SGP","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","WPR","SGP","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","SVN","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","SVN","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","SVN","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","SVN","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","SUR","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","SUR","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","SUR","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","SUR","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","SWZ","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","SWZ","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","SWZ","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","SWZ","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","CHE","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","CHE","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","CHE","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","CHE","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","TJK","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","TJK","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","TJK","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","TJK","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","SEAR","THA","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","SEAR","THA","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","SEAR","THA","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","SEAR","THA","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","TUR","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","TUR","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","TUR","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","TUR","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","UKR","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","UKR","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","UKR","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","UKR","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","URY","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","URY","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AMR","URY","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","AMR","URY","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","UZB","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","UZB","IN_SERVICE_TRAINING","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","UZB","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","UZB","PROFESSIONAL_CERTIFICATIONS","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","ZMB","CLINICAL_SUPERVISION","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","ZMB","GUIDELINES","yes","","","",""
"RSUD_83","PUBLISHED","2008","AFR","ZMB","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","AFR","ZMB","IN_SERVICE_TRAINING","yes","","","",""
"RSUD_83","PUBLISHED","2008","EUR","MNE","CLINICAL_SUPERVISION","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","MNE","PROFESSIONAL_CERTIFICATIONS","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","MNE","GUIDELINES","no","","","",""
"RSUD_83","PUBLISHED","2008","EUR","MNE","IN_SERVICE_TRAINING","yes","","","",""
