"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUNBED_CONTROL","Display Value","Numeric","Low","High","Comments"
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","SVN","FINES","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","SWE","FINES","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","USA","FINES","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AFR","ZAF","FINES","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","AUT","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","BEL","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","BRA","INSPECTION","NA","","","","not applicable because sunbeds are banned"
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","CAN","INSPECTION","No","","","","Inspections are not required, however if one is concerned that their equipment is not compliant with federal legislation, a federal inspector could examine such equipment."
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","CHE","INSPECTION","No","","","","The authority can monitor at all times, and verify that the emission levels and other conditions of the equipment and facilities are in accordance with the provisions."
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","CHL","INSPECTION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","COL","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","DEU","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","DNK","INSPECTION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ESP","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","FIN","INSPECTION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","FRA","INSPECTION","Yes","","","","Inspections are required for sunbeds and establishments every 2 years. These inspections are made by certifying bodies.  The General Directorate for Competition Policy, Consumer Affairs and Fraud Control does unexpected inspections."
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","IRL","INSPECTION","Yes","","","","Annual notification with payment of the prescribed fee."
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ISL","INSPECTION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ISR","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","ITA","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","LVA","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","NLD","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","NOR","INSPECTION","No","","","","From 1 January 2004 authority has been delegated to the municipalities to carry out inspections of artificial tanning equipment and to implement the necessary measures.   All solarium models and lamp combinations must be notified to the NRPA (Only solariums classified as UV type 3 according to the European standard EN 60335-2-27 are allowed for cosmetic use in Norway), and the solariums must be published on NRPA�s solarium list on http://www.nrpa.no/Solarieliste before they are allowed to be used."
"SUNBEDREG_CONTROL","PUBLISHED","2017","WPR","NZL","INSPECTION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","SVK","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","SVN","INSPECTION","Yes","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","EUR","SWE","INSPECTION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AMR","USA","INSPECTION","No","","","",""
"SUNBEDREG_CONTROL","PUBLISHED","2017","AFR","ZAF","INSPECTION","No","","","",""
