"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUGPRESCRIPTION","Display Value","Numeric","Low","High","Comments"
"RSUD_64","PUBLISHED","2008","SEAR","IDN","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","IDN","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","IDN","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EMR","IRN","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EMR","IRN","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EMR","IRN","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","IRL","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","IRL","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","IRL","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ISR","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ISR","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ISR","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ITA","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ITA","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ITA","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","KGZ","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","KGZ","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","KGZ","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","LVA","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","LVA","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","LVA","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","LTU","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","LTU","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","LTU","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","LUX","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","LUX","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","LUX","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","WPR","MYS","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","WPR","MYS","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","WPR","MYS","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","MLT","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","MLT","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","MLT","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","AFR","MUS","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","AFR","MUS","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","AFR","MUS","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","AMR","MEX","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","AMR","MEX","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","AMR","MEX","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","MMR","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","MMR","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","MMR","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","NPL","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","NPL","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","NPL","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","NLD","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","NLD","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","NLD","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","WPR","NZL","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","WPR","NZL","NON_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","WPR","NZL","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","NOR","SPECIALIZED_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","NOR","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","NOR","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EMR","OMN","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EMR","OMN","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EMR","OMN","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","POL","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","POL","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","POL","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","MDA","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","MDA","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SMR","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SMR","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SMR","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SRB","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SRB","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SRB","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","WPR","SGP","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","WPR","SGP","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","WPR","SGP","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SVK","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SVK","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SVK","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SVN","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SVN","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SVN","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","AFR","ZAF","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","AFR","ZAF","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","AFR","ZAF","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ESP","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ESP","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","ESP","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SWE","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SWE","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","SWE","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","CHE","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","CHE","ANY_DOCTOR","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","CHE","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","THA","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","THA","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","SEAR","THA","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","UKR","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","UKR","ANY_DOCTOR","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","UKR","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","MNE","NON_DOCTORS","no","","","",""
"RSUD_64","PUBLISHED","2008","EUR","MNE","SPECIALIZED_DOCTORS","yes","","","",""
"RSUD_64","PUBLISHED","2008","EUR","MNE","ANY_DOCTOR","no","","","",""
