"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYFRAMEWORK","Display Value","Numeric","Low","High","Comments"
"SA_0000001692","PUBLISHED","2016","EUR","ALB","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AND","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","HRV","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","HRV","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CYP","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CZE","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","FRA","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","GEO","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","DEU","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","DEU","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","THA","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","NZL","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","SGP","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","VUT","INTEGRATED_MENTAL_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","VUT","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","LAO","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","LAO","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","MYS","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","TJK","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MKD","INTEGRATED_MENTAL_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MKD","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","UZB","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","ITA","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","ITA","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","KAZ","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","LVA","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","IDN","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","IDN","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","LKA","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","NLD","INTEGRATED_OTHER","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","NOR","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","POL","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","POL","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SMR","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SMR","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SVN","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SVN","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","TJK","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","COL","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","COL","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","MWI","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","SYC","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","SYC","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","BHS","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","BHS","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","AGO","INTEGRATED_NONCOM_DISEASES","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","AGO","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CPV","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CPV","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CIV","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","GNQ","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","MDG","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","PRY","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","USA","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EMR","EGY","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EMR","EGY","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AND","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AND","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","BLR","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","BLR","INTEGRATED_NONCOM_DISEASES","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","BLR","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CYP","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","EST","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","FIN","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","HRV","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","LKA","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MDA","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","GEO","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","DEU","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","IRL","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SVK","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SVK","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SWE","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SWE","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","IRL","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","TJK","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MKD","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","BGD","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","BTN","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","KAZ","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","KAZ","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MNE","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MNE","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","NOR","INTEGRATED_NONCOM_DISEASES","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","NOR","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","POL","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MDA","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","MYS","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","KHM","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","PHL","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","KHM","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","KOR","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","SGP","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","SGP","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","MYS","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AUT","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AUT","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","ARG","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","BRA","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","BRA","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EMR","DJI","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","DZA","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","BEN","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","BWA","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CAF","INTEGRATED_NONCOM_DISEASES","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CAF","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","GHA","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","GHA","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","NER","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","NER","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","ZAF","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","ARG","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","MEX","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EMR","DJI","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","ALB","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","ALB","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AZE","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","BGR","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","MEX","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","HRV","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CZE","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CZE","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CZE","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","FRA","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","FRA","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SMR","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SMR","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","DEU","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","ISL","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","ISR","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","ITA","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","PRT","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","PRT","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","RUS","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SVN","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SVN","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CHE","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CHE","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","LVA","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","LVA","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","NLD","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","NLD","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","UZB","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","IDN","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","IDN","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","UZB","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","THA","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","JPN","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","LAO","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","NZL","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","NZL","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","NZL","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","WSM","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","WSM","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","VUT","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","VNM","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","COK","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","MWI","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","SYC","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","COL","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","SYC","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","AGO","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","AGO","INTEGRATED_MENTAL_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","MDG","INTEGRATED_NONCOM_DISEASES","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","MDG","INTEGRATED_GEN_PUB_HEALTH","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","COL","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","PRY","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","USA","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EMR","EGY","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EMR","LBN","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","BHS","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","BHS","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CPV","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CPV","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","GNQ","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","GNQ","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AND","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AND","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","BLR","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","BLR","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CYP","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","CYP","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","EST","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","FIN","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","LTU","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MNE","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","NOR","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","POL","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MDA","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MDA","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SVK","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","GEO","INTEGRATED_NONCOM_DISEASES","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","GEO","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","IRL","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","IRL","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SVK","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SWE","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","SWE","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","TJK","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","KAZ","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","KAZ","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","LAO","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","MYS","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","MKD","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","BGD","INTEGRATED_NONCOM_DISEASES","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","BGD","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","LKA","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","SEAR","LKA","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","KHM","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","KHM","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","KHM","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","PHL","INTEGRATED_OTHER","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","KOR","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","SGP","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","WPR","VUT","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AUT","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EUR","AUT","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","CHL","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","MWI","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","COL","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","PRY","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","NER","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","ZAF","INTEGRATED_NONCOM_DISEASES","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","ARG","INTEGRATED_GEN_PUB_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","BHS","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","AMR","USA","INTEGRATED_OTHER","No","","","",""
"SA_0000001692","PUBLISHED","2016","EMR","EGY","SPECIFIC_ALCOHOL_POLICY","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","EMR","LBN","INTEGRATED_SUBSTANCE_ABUSE","Yes","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","AGO","SPECIFIC_ALCOHOL_POLICY","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","BEN","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","BWA","INTEGRATED_MENTAL_HEALTH","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CAF","INTEGRATED_SUBSTANCE_ABUSE","No","","","",""
"SA_0000001692","PUBLISHED","2016","AFR","CIV","INTEGRATED_MENTAL_HEALTH","No","","","",""
