"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","Display Value","Numeric","Low","High","Comments"
"EMFPOWERFREQUENCY","PUBLISHED","2017","","CHE","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","CYP","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","DEU","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","FIN","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","FRA","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","GBR","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","GRC","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","IRN","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","ISR","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","ITA","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","JPN","EMFPUBLIC","EMFLOW","50/60","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","KOR","EMFPUBLIC","EMFLOW","60","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","NLD","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","NOR","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","NZL","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","PER","EMFPUBLIC","EMFLOW","60","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","PHL","EMFPUBLIC","EMFLOW","60","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","RUS","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","SWE","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","TUR","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","","DNK","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","","HUN","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","","HRV","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","","SGP","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","","SVN","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","EUR","IRL","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","EUR","DNK","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","EUR","HUN","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","EUR","HRV","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","WPR","SGP","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2018","EUR","SVN","EMFWORKER","EMFLOW","50","","","",""
