"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","DRUG","RSUDHWF","Display Value","Numeric","Low","High","Comments"
"RSUD_72","PUBLISHED","2008","AMR","BHS","NALTREXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BHS","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EMR","BHR","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EMR","BHR","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","BHR","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","BHR","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","BHR","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","BHR","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","BHR","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BGD","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BGD","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BGD","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BGD","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BGD","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BGD","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BGD","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BLR","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BLR","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BLR","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BLR","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BLR","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BLR","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BLR","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BLZ","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BLZ","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BLZ","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BLZ","BUPRENORPHINE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BLZ","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BLZ","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","BLZ","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BEN","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BEN","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BEN","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BEN","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BEN","NALTREXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BEN","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BEN","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BTN","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BTN","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BTN","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BTN","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BTN","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BTN","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","SEAR","BTN","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BWA","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BWA","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BWA","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BWA","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BWA","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BWA","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BWA","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BGR","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BGR","BUPRENORPHINE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BGR","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BGR","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BGR","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BGR","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","BGR","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BFA","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BFA","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BFA","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BFA","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BFA","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BFA","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BFA","BUPRENORPHINE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BDI","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BDI","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BDI","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BDI","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BDI","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BDI","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","BDI","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CMR","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CMR","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CMR","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CMR","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CMR","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CMR","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CMR","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CPV","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CPV","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CPV","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CPV","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CPV","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CPV","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CPV","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CAF","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CAF","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CAF","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CAF","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CAF","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CAF","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","CAF","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","TCD","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","TCD","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","TCD","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","TCD","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","TCD","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","TCD","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","TCD","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CHL","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CHL","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CHL","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CHL","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CHL","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CHL","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CHL","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","WPR","CHN","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","WPR","CHN","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","WPR","CHN","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","WPR","CHN","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","WPR","CHN","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","WPR","CHN","BUPRENORPHINE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","WPR","CHN","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","COL","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","COL","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","COL","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","COL","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","COL","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","COL","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","COL","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COM","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COM","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COM","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COM","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COM","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COM","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COM","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COG","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COG","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COG","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COG","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COG","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COG","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COG","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CRI","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CRI","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CRI","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CRI","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CRI","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CRI","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","CRI","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","HRV","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","HRV","BUPRENORPHINE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","HRV","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","HRV","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","HRV","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","HRV","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","HRV","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","CYP","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","CYP","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","CYP","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","CYP","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","CYP","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","CYP","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","CYP","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COD","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COD","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COD","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COD","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COD","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COD","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","COD","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","DOM","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","DOM","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","DOM","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","DOM","ACAMPROSATE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","DOM","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","DOM","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","DOM","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","ECU","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","ECU","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","ECU","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","ECU","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","ECU","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","ECU","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","ECU","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","EGY","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","EGY","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","EGY","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","EGY","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EMR","EGY","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EMR","EGY","NALTREXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EMR","EGY","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","SLV","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","SLV","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","SLV","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","SLV","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","SLV","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","SLV","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","SLV","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GNQ","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GNQ","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GNQ","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GNQ","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GNQ","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GNQ","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GNQ","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ERI","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ERI","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ERI","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ERI","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ERI","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ERI","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ERI","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","EST","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","EST","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","EST","BUPRENORPHINE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","EST","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","EST","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","EST","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","EST","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ETH","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ETH","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ETH","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ETH","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ETH","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ETH","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","ETH","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","WPR","FJI","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","WPR","FJI","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","WPR","FJI","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","WPR","FJI","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","WPR","FJI","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","WPR","FJI","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","WPR","FJI","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GAB","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GAB","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GAB","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GAB","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GAB","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GAB","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GAB","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GMB","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GMB","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GMB","NALTREXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GMB","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GMB","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GMB","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GMB","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GEO","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GEO","NALTREXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GEO","DISULFIRAM","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GEO","METHADONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GEO","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GEO","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GEO","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GHA","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GHA","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GHA","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GHA","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GHA","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GHA","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GHA","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GRC","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GRC","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GRC","NALOXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GRC","NALTREXONE","","yes","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GRC","BENZODIAZEPINES","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GRC","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","EUR","GRC","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","GTM","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","GTM","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","GTM","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","GTM","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","GTM","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","GTM","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","GTM","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GIN","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GIN","ACAMPROSATE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GIN","DISULFIRAM","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GIN","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GIN","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GIN","METHADONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AFR","GIN","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","HND","NALTREXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","HND","BUPRENORPHINE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","HND","NALOXONE","","no","","","",""
"RSUD_72","PUBLISHED","2008","AMR","HND","BENZODIAZEPINES","","yes","","","",""
"RSUD_72","PUBLISHED","2008","AMR","HND","ACAMPROSATE","","no","","","",""
