"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SOCIALCOSTTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001477","PUBLISHED","2002","AMR","CAN","SA_DIRECT_HEALTH_COSTS","3170.7","3170.70000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","ESP","SA_TOTAL_COSTS","6428.7","6428.70000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","ESP","SA_INDIRECT_COSTS","4125.8","4125.80000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","ESP","SA_DIRECT_OTHER_COSTS","24.1","24.10000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","ESP","SA_DIRECT_LAW_COSTS","493.5","493.50000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","ESP","SA_DIRECT_HEALTH_COSTS","1785.3","1785.30000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","SWE","SA_INDIRECT_COSTS","1470.9","1470.90000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","SWE","SA_DIRECT_OTHER_COSTS","681.9","681.90000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","SWE","SA_DIRECT_HEALTH_COSTS","308.2","308.20000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","SWE","SA_DIRECT_LAW_COSTS","401.3","401.30000","","",""
"SA_0000001477","PUBLISHED","2002","EUR","SWE","SA_TOTAL_COSTS","2862.3","2862.30000","","",""
"SA_0000001477","PUBLISHED","2003","EUR","GBR","SA_DIRECT_LAW_COSTS","12227.4","12227.40000","","",""
"SA_0000001477","PUBLISHED","2003","EUR","GBR","SA_DIRECT_HEALTH_COSTS","3425.4","3425.40000","","",""
"SA_0000001477","PUBLISHED","2003","EUR","GBR","SA_DIRECT_OTHER_COSTS","181.2","181.20000","","",""
"SA_0000001477","PUBLISHED","2003","EUR","GBR","SA_INDIRECT_COSTS","14426.5","14426.50000","","",""
"SA_0000001477","PUBLISHED","2003","EUR","GBR","SA_TOTAL_COSTS","31950.6","31950.60000","","",""
