"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"SI_POV_DAY1","PUBLISHED","2014","AMR","","ARG","0.7","0.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2016","AMR","","ARG","0.6","0.60000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2017","AMR","","ARG","0.4","0.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data. Urban only. PPP is regression based."
"SI_POV_DAY1","PUBLISHED","2001","EUR","","ARM","19.3","19.30000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2002","EUR","","ARM","15.1","15.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2003","EUR","","ARM","11.4","11.40000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2004","EUR","","ARM","7.9","7.90000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2005","EUR","","ARM","4.5","4.50000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2006","EUR","","ARM","3.2","3.20000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2007","EUR","","ARM","2.8","2.80000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2008","EUR","","ARM","1.4","1.40000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2009","EUR","","ARM","1.9","1.90000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2010","EUR","","ARM","1.9","1.90000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2011","EUR","","ARM","2.2","2.20000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2012","EUR","","ARM","1.6","1.60000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2013","EUR","","ARM","2.2","2.20000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2014","EUR","","ARM","2.3","2.30000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2015","EUR","","ARM","1.9","1.90000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2016","EUR","","ARM","1.8","1.80000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2017","EUR","","ARM","1.4","1.40000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2001","WPR","","AUS","0.7","0.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2003","WPR","","AUS","1.0","1.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2004","WPR","","AUS","0.7","0.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2008","WPR","","AUS","0.5","0.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2010","WPR","","AUS","0.5","0.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2014","WPR","","AUS","0.7","0.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2003","EUR","","AUT","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2004","EUR","","AUT","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2005","EUR","","AUT","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2006","EUR","","AUT","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2007","EUR","","AUT","0.5","0.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2008","EUR","","AUT","0.5","0.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2009","EUR","","AUT","0.5","0.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2010","EUR","","AUT","0.5","0.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2011","EUR","","AUT","0.5","0.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2012","EUR","","AUT","0.5","0.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2013","EUR","","AUT","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2014","EUR","","AUT","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2015","EUR","","AUT","0.7","0.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2001","EUR","","AZE","2.7","2.70000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2002","EUR","","AZE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2003","EUR","","AZE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2004","EUR","","AZE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2005","EUR","","AZE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2006","AFR","","BDI","77.7","77.70000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2013","AFR","","BDI","71.8","71.80000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2003","EUR","","BEL","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2004","EUR","","BEL","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2005","EUR","","BEL","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2006","EUR","","BEL","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2007","EUR","","BEL","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2008","EUR","","BEL","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2009","EUR","","BEL","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2010","EUR","","BEL","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2011","EUR","","BEL","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2012","EUR","","BEL","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2013","EUR","","BEL","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2014","EUR","","BEL","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2015","EUR","","BEL","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2003","AFR","","BEN","48.8","48.80000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2011","AFR","","BEN","53.1","53.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2015","AFR","","BEN","49.5","49.50000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2003","AFR","","BFA","57.3","57.30000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2009","AFR","","BFA","55.3","55.30000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2014","AFR","","BFA","43.7","43.70000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2000","SEAR","","BGD","34.8","34.80000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2005","SEAR","","BGD","25.7","25.70000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2010","SEAR","","BGD","19.6","19.60000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2016","SEAR","","BGD","14.8","14.80000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2006","EUR","","BGR","5.5","5.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2007","EUR","","BGR","1.7","1.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2008","EUR","","BGR","1.2","1.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2009","EUR","","BGR","1.2","1.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2010","EUR","","BGR","2.0","2.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2011","EUR","","BGR","2.2","2.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2012","EUR","","BGR","2.0","2.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2013","EUR","","BGR","1.7","1.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2014","EUR","","BGR","1.5","1.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2001","EUR","","BIH","0.3","0.30000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2004","EUR","","BIH","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2007","EUR","","BIH","0.1","0.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2011","EUR","","BIH","0.1","0.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2000","EUR","","BLR","7.1","7.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2001","EUR","","BLR","3.2","3.20000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2002","EUR","","BLR","2.1","2.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2003","EUR","","BLR","1.4","1.40000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2004","EUR","","BLR","0.3","0.30000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2005","EUR","","BLR","0.4","0.40000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2006","EUR","","BLR","0.1","0.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2007","EUR","","BLR","0.1","0.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2008","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2009","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2010","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2011","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2012","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2013","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2014","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2015","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2016","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2017","EUR","","BLR","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2000","AMR","","BOL","28.6","28.60000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2001","AMR","","BOL","22.8","22.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2002","AMR","","BOL","24.7","24.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2004","AMR","","BOL","13.7","13.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2005","AMR","","BOL","19.3","19.30000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2006","AMR","","BOL","16.4","16.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2007","AMR","","BOL","12.4","12.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2008","AMR","","BOL","11.1","11.10000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2009","AMR","","BOL","10.5","10.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2011","AMR","","BOL","7.3","7.30000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2012","AMR","","BOL","8.2","8.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2013","AMR","","BOL","6.9","6.90000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2014","AMR","","BOL","5.8","5.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2015","AMR","","BOL","6.4","6.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2016","AMR","","BOL","7.1","7.10000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2017","AMR","","BOL","5.8","5.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2001","AMR","","BRA","11.6","11.60000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2002","AMR","","BRA","10.3","10.30000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2003","AMR","","BRA","11.1","11.10000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2004","AMR","","BRA","9.7","9.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2005","AMR","","BRA","8.6","8.60000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2006","AMR","","BRA","7.2","7.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2007","AMR","","BRA","6.8","6.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2008","AMR","","BRA","5.6","5.60000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2009","AMR","","BRA","5.4","5.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2011","AMR","","BRA","4.7","4.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2012","AMR","","BRA","3.8","3.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2013","AMR","","BRA","3.8","3.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2014","AMR","","BRA","2.8","2.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2015","AMR","","BRA","3.4","3.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2016","AMR","","BRA","4.3","4.30000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2017","AMR","","BRA","4.8","4.80000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2003","SEAR","","BTN","17.6","17.60000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2007","SEAR","","BTN","8.0","8.00000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2012","SEAR","","BTN","2.2","2.20000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2017","SEAR","","BTN","1.5","1.50000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2002","AFR","","BWA","29.8","29.80000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2009","AFR","","BWA","18.2","18.20000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2015","AFR","","BWA","16.1","16.10000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2003","AFR","","CAF","64.8","64.80000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2008","AFR","","CAF","66.3","66.30000","","","World Development Indicators database, World Bank: Estimated from unit-record consumption data."
"SI_POV_DAY1","PUBLISHED","2000","AMR","","CAN","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2004","AMR","","CAN","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2007","AMR","","CAN","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2010","AMR","","CAN","0.2","0.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2013","AMR","","CAN","0.5","0.50000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2006","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2007","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2008","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2009","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2010","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2011","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2012","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2013","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2014","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2015","EUR","","CHE","0.0","0.00000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2000","AMR","","CHL","4.4","4.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2003","AMR","","CHL","4.2","4.20000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2006","AMR","","CHL","2.4","2.40000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2009","AMR","","CHL","2.6","2.60000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2011","AMR","","CHL","1.6","1.60000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2013","AMR","","CHL","0.9","0.90000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2015","AMR","","CHL","1.3","1.30000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2017","AMR","","CHL","0.7","0.70000","","","World Development Indicators database, World Bank: Estimated from unit-record income data."
"SI_POV_DAY1","PUBLISHED","2002","WPR","","CHN","31.7","31.70000","","","World Development Indicators database, World Bank: Estimated from grouped consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates."
"SI_POV_DAY1","PUBLISHED","2005","WPR","","CHN","18.5","18.50000","","","World Development Indicators database, World Bank: Estimated from grouped consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates."
"SI_POV_DAY1","PUBLISHED","2008","WPR","","CHN","14.8","14.80000","","","World Development Indicators database, World Bank: Estimated from grouped consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates."
"SI_POV_DAY1","PUBLISHED","2010","WPR","","CHN","11.2","11.20000","","","World Development Indicators database, World Bank: Estimated from grouped consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates."
