"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SPECIALPOPULATION","RSUDSPECIFICPOPULATION","Display Value","Numeric","Low","High","Comments"
"RSUD_77","PUBLISHED","2008","AFR","DZA","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","DZA","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","DZA","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","DZA","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","DZA","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","DZA","COMMERCIAL_SEX_WORKERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","DZA","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","DZA","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","DZA","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","AGO","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","AGO","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","AGO","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","AGO","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","AGO","PREGNANT_WOMEN","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","AGO","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","AGO","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","AGO","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","AGO","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ARM","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ARM","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ARM","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ARM","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ARM","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ARM","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ARM","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ARM","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","ARM","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","WPR","AUS","MINORITY_GROUPS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","WPR","AUS","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","AUS","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","WPR","AUS","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","WPR","AUS","INDIGENOUS_POPULATIONS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","WPR","AUS","PREGNANT_WOMEN","","yes","","","",""
"RSUD_77","PUBLISHED","2008","WPR","AUS","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","WPR","AUS","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","WPR","AUS","COMMERCIAL_SEX_WORKERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AUT","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AUT","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AUT","MINORITY_GROUPS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AUT","PREGNANT_WOMEN","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AUT","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AUT","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AUT","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AUT","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AUT","REFUGEES","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AZE","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AZE","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AZE","CHILDREN_AND_ADOLESCENTS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AZE","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AZE","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AZE","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AZE","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AZE","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","AZE","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BHS","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BHS","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BHS","MINORITY_GROUPS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BHS","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BHS","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BHS","INDIGENOUS_POPULATIONS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BHS","REFUGEES","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BHS","PREGNANT_WOMEN","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BHS","COMMERCIAL_SEX_WORKERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EMR","BHR","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EMR","BHR","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","BHR","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","BHR","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","BHR","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","BHR","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","BHR","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EMR","BHR","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EMR","BHR","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BGD","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BGD","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BGD","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BGD","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BGD","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BGD","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BGD","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BGD","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BGD","CHILDREN_AND_ADOLESCENTS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BLR","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BLR","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BLR","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BLR","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BLR","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BLR","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BLR","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BLR","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BLR","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BEL","PREGNANT_WOMEN","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BEL","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BEL","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BEL","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BEL","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BEL","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BEL","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BEL","MINORITY_GROUPS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BEL","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BLZ","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BLZ","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BLZ","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BLZ","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BLZ","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BLZ","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BLZ","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BLZ","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","BLZ","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BEN","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BEN","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BEN","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BEN","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BEN","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BEN","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BEN","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BEN","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BEN","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BTN","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BTN","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BTN","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BTN","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BTN","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BTN","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BTN","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BTN","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","SEAR","BTN","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BWA","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BWA","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BWA","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BWA","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BWA","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BWA","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BWA","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BWA","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BWA","CHILDREN_AND_ADOLESCENTS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","BRN","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","BRN","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","BRN","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","BRN","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","BRN","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","BRN","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","BRN","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","BRN","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","BRN","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BGR","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BGR","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BGR","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BGR","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BGR","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BGR","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BGR","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BGR","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","EUR","BGR","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BFA","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BFA","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BFA","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BFA","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BFA","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BFA","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BFA","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BFA","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BFA","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BDI","PREGNANT_WOMEN","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BDI","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BDI","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BDI","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BDI","CHILDREN_AND_ADOLESCENTS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BDI","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BDI","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BDI","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","BDI","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CMR","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CMR","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CMR","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CMR","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CMR","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CMR","PREGNANT_WOMEN","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CMR","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CMR","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CMR","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CAN","PREGNANT_WOMEN","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CAN","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CAN","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CAN","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CAN","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CAN","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CAN","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CAN","INDIGENOUS_POPULATIONS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CAN","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CPV","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CPV","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CPV","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CPV","CHILDREN_AND_ADOLESCENTS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CPV","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CPV","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CPV","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CPV","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CPV","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CAF","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CAF","CHILDREN_AND_ADOLESCENTS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CAF","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CAF","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CAF","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CAF","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CAF","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CAF","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","CAF","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","TCD","COMMERCIAL_SEX_WORKERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","TCD","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","TCD","PREGNANT_WOMEN","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","TCD","INDIGENOUS_POPULATIONS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","TCD","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","TCD","PEOPLE_LIVING_WITH_HIV_AIDS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","TCD","REFUGEES","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","TCD","MINORITY_GROUPS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","TCD","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CHL","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CHL","PRISONERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CHL","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CHL","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CHL","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CHL","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CHL","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CHL","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","CHL","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","WPR","CHN","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","CHN","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","CHN","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","CHN","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","CHN","CHILDREN_AND_ADOLESCENTS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","CHN","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","CHN","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","CHN","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","WPR","CHN","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","COL","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","COL","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","COL","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","COL","COMMERCIAL_SEX_WORKERS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","COL","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","COL","CHILDREN_AND_FAMILIES_RISK","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AMR","COL","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","COL","INDIGENOUS_POPULATIONS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AMR","COL","CHILDREN_AND_ADOLESCENTS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COM","PEOPLE_LIVING_WITH_HIV_AIDS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COM","REFUGEES","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COM","INDIGENOUS_POPULATIONS","","yes","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COM","PREGNANT_WOMEN","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COM","CHILDREN_AND_FAMILIES_RISK","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COM","MINORITY_GROUPS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COM","CHILDREN_AND_ADOLESCENTS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COM","COMMERCIAL_SEX_WORKERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COM","PRISONERS","","no","","","",""
"RSUD_77","PUBLISHED","2008","AFR","COG","PREGNANT_WOMEN","","no","","","",""
